test/mean_Q,stats_o/std,train/success_rate,test/success_rate,test/episode,stats_g/std,stats_g/mean,stats_o/mean,train/episode,epoch
-28.76243,0.09879472,0.0,0.0,220.0,0.12349627,0.85592645,0.20415041,440.0,21
-30.619104,0.10041306,0.0,0.0,230.0,0.1233381,0.85624355,0.20400748,460.0,22
-33.14158,0.10219282,0.0,0.0,240.0,0.12447146,0.8550388,0.20372099,480.0,23
-32.419395,0.10186672,0.0,0.0,250.0,0.124140225,0.8553402,0.20358962,500.0,24
-22.290838,0.10276472,0.0,0.2,260.0,0.12437752,0.8544807,0.20331505,520.0,25
-32.26194,0.10319505,0.0,0.0,270.0,0.12500621,0.85451335,0.20372477,540.0,26
-33.32534,0.10481712,0.0,0.0,280.0,0.12635767,0.85418177,0.20365047,560.0,27
-29.79664,0.10509722,0.0,0.0,290.0,0.12660001,0.8539116,0.20387825,580.0,28
-28.119064,0.10635435,0.0,0.0,300.0,0.12916712,0.8531963,0.20380707,600.0,29
-26.261547,0.1069072,0.0,0.0,310.0,0.13040207,0.8533897,0.2040442,620.0,30
-29.070807,0.108294286,0.0,0.0,320.0,0.13219613,0.8536506,0.20452395,640.0,31
-24.308323,0.10831137,0.0,0.0,330.0,0.13297212,0.85356945,0.20466982,660.0,32
-26.308252,0.10897397,0.0,0.0,340.0,0.13310857,0.8528746,0.2044509,680.0,33
-23.934437,0.10973018,0.0,0.0,350.0,0.13297005,0.85250705,0.2047265,700.0,34
-28.746975,0.109779745,0.0,0.0,360.0,0.13274871,0.85259,0.20462102,720.0,35
-27.172588,0.10979275,0.0,0.0,370.0,0.13306607,0.85219175,0.20460811,740.0,36
-30.381397,0.11053547,0.0,0.0,380.0,0.1331441,0.8520667,0.2046991,760.0,37
-26.26894,0.11083353,0.0,0.0,390.0,0.13313001,0.8519848,0.20482914,780.0,38
-26.01412,0.11091516,0.0,0.0,400.0,0.13334535,0.8515916,0.2046816,800.0,39
-27.54955,0.11226149,0.0,0.1,410.0,0.13412584,0.85115355,0.20470218,820.0,40
-24.01731,0.112426884,0.0,0.0,420.0,0.13424085,0.8511608,0.2047602,840.0,41
-22.719496,0.11295094,0.0,0.0,430.0,0.13398162,0.85091,0.20480074,860.0,42
-23.830444,0.113351844,0.0,0.0,440.0,0.1341594,0.8510544,0.2047107,880.0,43
-27.81712,0.11363793,0.0,0.0,450.0,0.13529943,0.8505184,0.2045662,900.0,44
-21.93369,0.113453284,0.0,0.0,460.0,0.13497198,0.8505626,0.20453086,920.0,45
-25.505892,0.11339836,0.0,0.0,470.0,0.13457026,0.8505083,0.20435151,940.0,46
-28.046413,0.11353646,0.0,0.0,480.0,0.13471334,0.8501563,0.20437822,960.0,47
-26.509726,0.11405298,0.0,0.0,490.0,0.13461828,0.84960985,0.20404333,980.0,48
-30.806005,0.11474347,0.0,0.0,500.0,0.13535,0.8489284,0.20406735,1000.0,49
-24.570143,0.11564033,0.0,0.0,510.0,0.13653088,0.84862524,0.20390254,1020.0,50
-23.599623,0.116260745,0.0,0.1,520.0,0.13720535,0.84861493,0.20403107,1040.0,51
-26.165176,0.116573535,0.0,0.0,530.0,0.1374389,0.84833604,0.20375901,1060.0,52
-26.878494,0.11695971,0.0,0.0,540.0,0.13788475,0.84816885,0.20409971,1080.0,53
-23.08942,0.117528334,0.0,0.0,550.0,0.13822472,0.8481477,0.20400979,1100.0,54
-25.839817,0.118070014,0.0,0.0,560.0,0.1389576,0.8479541,0.20384228,1120.0,55
-25.775925,0.118510954,0.0,0.0,570.0,0.14048608,0.84696573,0.20381758,1140.0,56
-28.766026,0.11916892,0.0,0.0,580.0,0.14025903,0.8468353,0.2034885,1160.0,57
-25.441885,0.11874993,0.0,0.1,590.0,0.13988088,0.84706974,0.2034396,1180.0,58
-23.659134,0.11860166,0.0,0.0,600.0,0.13944025,0.8469495,0.20350973,1200.0,59
-27.096996,0.118979454,0.0,0.0,610.0,0.14011288,0.84685034,0.20366755,1220.0,60
-25.57751,0.11887346,0.0,0.1,620.0,0.14070958,0.84714603,0.20381552,1240.0,61
-25.280472,0.1186342,0.0,0.0,630.0,0.14049506,0.84711295,0.203743,1260.0,62
-28.066193,0.11840641,0.0,0.0,640.0,0.14059861,0.8472267,0.20381966,1280.0,63
-19.187687,0.11815825,0.0,0.0,650.0,0.14052056,0.84717613,0.20379877,1300.0,64
-21.697279,0.11775077,0.0,0.0,660.0,0.14073205,0.8470332,0.2038213,1320.0,65
-20.850567,0.117388174,0.0,0.0,670.0,0.14048047,0.84691423,0.20374,1340.0,66
-20.745237,0.11680584,0.0,0.0,680.0,0.14007187,0.84706885,0.20376739,1360.0,67
-20.166637,0.11641074,0.0,0.0,690.0,0.139794,0.8472548,0.20382845,1380.0,68
-17.404022,0.116041936,0.0,0.0,700.0,0.13945435,0.8473978,0.20381497,1400.0,69
-20.6211,0.11554705,0.0,0.0,710.0,0.13906805,0.84767395,0.20382936,1420.0,70
-21.336082,0.11527426,0.0,0.0,720.0,0.13865815,0.8478429,0.20376553,1440.0,71
-24.416912,0.11477079,0.0,0.0,730.0,0.13821007,0.8478603,0.20377903,1460.0,72
-21.809258,0.11453652,0.0,0.0,740.0,0.13781567,0.847704,0.20363316,1480.0,73
-20.357496,0.113988675,0.0,0.0,750.0,0.13743621,0.84770584,0.20359913,1500.0,74
-20.514986,0.11342542,0.0,0.0,760.0,0.13699587,0.8476413,0.20359093,1520.0,75
-21.913168,0.113045596,0.0,0.1,770.0,0.1366803,0.84768766,0.2035985,1540.0,76
-20.875805,0.112796396,0.0,0.0,780.0,0.13654482,0.8478046,0.20361428,1560.0,77
-22.525238,0.11260393,0.0,0.0,790.0,0.13637318,0.8479645,0.20354313,1580.0,78
-23.565422,0.11257845,0.0,0.0,800.0,0.13617323,0.84791636,0.20347628,1600.0,79
-26.094097,0.11272907,0.0,0.0,810.0,0.1361683,0.8479684,0.2036607,1620.0,80
-26.901865,0.11269509,0.0,0.0,820.0,0.13633744,0.8477811,0.20355347,1640.0,81
-24.910303,0.11283451,0.0,0.0,830.0,0.13671885,0.84780353,0.20361839,1660.0,82
-25.5928,0.112830184,0.0,0.0,840.0,0.1368604,0.84752136,0.20356047,1680.0,83
-26.96081,0.112583034,0.0,0.0,850.0,0.1367342,0.8477726,0.20355938,1700.0,84
-23.374826,0.1121448,0.0,0.1,860.0,0.13648945,0.8479702,0.20359163,1720.0,85
-23.79132,0.111743145,0.0,0.0,870.0,0.1361999,0.84803724,0.20355654,1740.0,86
-25.179379,0.11140991,0.0,0.0,880.0,0.1360224,0.84806365,0.20358366,1760.0,87
-26.296093,0.111397415,0.0,0.0,890.0,0.13585022,0.84815764,0.20359291,1780.0,88
-26.159327,0.11115635,0.0,0.0,900.0,0.1355805,0.84815246,0.20354752,1800.0,89
-26.828135,0.11100449,0.0,0.0,910.0,0.13554947,0.8483376,0.20359075,1820.0,90
-22.831175,0.11065259,0.0,0.0,920.0,0.13523482,0.8483985,0.20356983,1840.0,91
-25.87031,0.11066105,0.0,0.0,930.0,0.13498208,0.84827906,0.20359583,1860.0,92
-26.603094,0.11078748,0.0,0.0,940.0,0.13512577,0.8483797,0.20375212,1880.0,93
-23.25776,0.11068505,0.0,0.0,950.0,0.13506536,0.84830683,0.20367467,1900.0,94
-20.99374,0.11050906,0.0,0.0,960.0,0.1350831,0.8484058,0.203679,1920.0,95
-20.208223,0.110268265,0.0,0.0,970.0,0.13501671,0.84837216,0.20370476,1940.0,96
-24.026134,0.1102687,0.0,0.0,980.0,0.1348783,0.8484149,0.20367424,1960.0,97
-29.112095,0.11001055,0.0,0.0,990.0,0.13464671,0.84851694,0.20369428,1980.0,98
-21.974596,0.10966724,0.0,0.0,1000.0,0.13446335,0.84857553,0.20367195,2000.0,99
-28.285275,0.10942248,0.0,0.0,1010.0,0.13437052,0.8486561,0.20372991,2020.0,100
-28.37292,0.10918017,0.0,0.0,1020.0,0.13421972,0.8486199,0.20370844,2040.0,101
-26.07753,0.10911089,0.0,0.0,1030.0,0.13414365,0.8485852,0.2037564,2060.0,102
-28.079172,0.1089029,0.0,0.0,1040.0,0.13400488,0.8485749,0.20369135,2080.0,103
-29.14148,0.10887847,0.0,0.0,1050.0,0.13381833,0.8486758,0.2036117,2100.0,104
-26.695211,0.108549684,0.0,0.1,1060.0,0.13362543,0.8487347,0.20361282,2120.0,105
-29.78172,0.108407736,0.0,0.0,1070.0,0.13346042,0.84875196,0.2036389,2140.0,106
-25.724182,0.1081487,0.0,0.0,1080.0,0.13327889,0.84878594,0.20360331,2160.0,107
-28.506847,0.10790264,0.0,0.0,1090.0,0.13322537,0.84893936,0.20365655,2180.0,108
-26.757812,0.10767626,0.0,0.1,1100.0,0.13306242,0.8489955,0.20368996,2200.0,109
-23.620556,0.10764254,0.0,0.0,1110.0,0.13294771,0.8490705,0.20374121,2220.0,110
-24.178366,0.107444115,0.0,0.0,1120.0,0.13277023,0.84915096,0.20376661,2240.0,111
-21.69305,0.10725421,0.0,0.0,1130.0,0.13259733,0.8492601,0.20376554,2260.0,112
-29.978867,0.10717264,0.0,0.1,1140.0,0.13262026,0.8494229,0.2038,2280.0,113
-23.499935,0.106839724,0.0,0.0,1150.0,0.13249816,0.8494809,0.20379283,2300.0,114
-31.429321,0.10657082,0.0,0.1,1160.0,0.13233733,0.84958833,0.2037858,2320.0,115
-32.627335,0.10641632,0.0,0.0,1170.0,0.13214834,0.84967345,0.20378564,2340.0,116
-22.146809,0.10622879,0.0,0.0,1180.0,0.13215452,0.84958404,0.20371506,2360.0,117
-20.74818,0.10599532,0.0,0.0,1190.0,0.1319841,0.84964705,0.20374244,2380.0,118
-24.634407,0.1057793,0.0,0.0,1200.0,0.13183497,0.84966296,0.20376098,2400.0,119
-25.312017,0.10563054,0.0,0.0,1210.0,0.13205272,0.8495987,0.20376319,2420.0,120
-29.822079,0.105579235,0.0,0.0,1220.0,0.13222174,0.849484,0.20367174,2440.0,121
-23.339825,0.105406724,0.0,0.0,1230.0,0.13201365,0.8494828,0.20364039,2460.0,122
-28.914087,0.10537867,0.0,0.0,1240.0,0.13215454,0.8495045,0.20356317,2480.0,123
-27.029003,0.10524455,0.0,0.0,1250.0,0.13196291,0.8494678,0.20358567,2500.0,124
-20.50853,0.10522091,0.0,0.1,1260.0,0.13200295,0.849484,0.20360021,2520.0,125
-29.178162,0.10515247,0.0,0.0,1270.0,0.13217223,0.84953284,0.20359777,2540.0,126
-32.32386,0.10500897,0.0,0.0,1280.0,0.1320046,0.84940386,0.20354156,2560.0,127
-28.221333,0.10481351,0.0,0.0,1290.0,0.1319064,0.8493867,0.20355509,2580.0,128
-23.508554,0.10458632,0.0,0.0,1300.0,0.13175058,0.849508,0.20360267,2600.0,129
-24.452097,0.10439373,0.0,0.0,1310.0,0.13159293,0.84956044,0.20361492,2620.0,130
-29.21671,0.104324,0.0,0.0,1320.0,0.13142256,0.84956264,0.2035522,2640.0,131
-29.934128,0.10422692,0.0,0.0,1330.0,0.13133089,0.84959865,0.20360778,2660.0,132
-25.209414,0.10398722,0.0,0.0,1340.0,0.13121913,0.8497408,0.20360756,2680.0,133
-26.410568,0.10373831,0.0,0.1,1350.0,0.1311019,0.8497723,0.20359464,2700.0,134
-27.513754,0.10374151,0.05,0.0,1360.0,0.13112606,0.84990716,0.20366469,2720.0,135
-25.18755,0.10351746,0.0,0.0,1370.0,0.13095604,0.84988993,0.20365955,2740.0,136
-24.703606,0.10329494,0.0,0.0,1380.0,0.13078909,0.85001534,0.20367835,2760.0,137
-27.376038,0.103081875,0.0,0.0,1390.0,0.1306317,0.8499903,0.20364107,2780.0,138
-27.959482,0.10292671,0.0,0.0,1400.0,0.1306833,0.84995055,0.20362832,2800.0,139
-25.776525,0.10274479,0.0,0.0,1410.0,0.1305423,0.8498881,0.20356186,2820.0,140
-28.326939,0.10261658,0.0,0.1,1420.0,0.13044244,0.84991556,0.20358643,2840.0,141
-23.657116,0.102541715,0.0,0.0,1430.0,0.13038553,0.8500555,0.20364654,2860.0,142
-24.979607,0.10233584,0.0,0.0,1440.0,0.13024424,0.85014635,0.20368013,2880.0,143
-27.145142,0.102246955,0.0,0.1,1450.0,0.1303031,0.8502226,0.20375597,2900.0,144
-26.053656,0.10204679,0.0,0.0,1460.0,0.13017754,0.8503923,0.20381704,2920.0,145
-28.803946,0.10190118,0.0,0.0,1470.0,0.13004625,0.8504303,0.20376568,2940.0,146
-25.618979,0.10172037,0.0,0.3,1480.0,0.12988237,0.8505381,0.20381384,2960.0,147
-29.676844,0.10163179,0.0,0.0,1490.0,0.12988716,0.8505568,0.20382053,2980.0,148
-31.007427,0.101546414,0.0,0.1,1500.0,0.12986545,0.8506717,0.20383812,3000.0,149
-28.882772,0.101431884,0.0,0.0,1510.0,0.1298246,0.8506966,0.20384078,3020.0,150
-31.719732,0.101326905,0.0,0.0,1520.0,0.12978494,0.85074496,0.20381139,3040.0,151
-36.48155,0.10136423,0.0,0.0,1530.0,0.12984306,0.850712,0.20383406,3060.0,152
-28.487686,0.10139745,0.0,0.0,1540.0,0.12986453,0.85075456,0.20386739,3080.0,153
-27.575327,0.10123104,0.0,0.0,1550.0,0.12976536,0.8508615,0.20387383,3100.0,154
-33.92832,0.10116084,0.0,0.0,1560.0,0.12976448,0.85089093,0.20383932,3120.0,155
-28.359089,0.101122595,0.0,0.0,1570.0,0.12979458,0.85099,0.20382057,3140.0,156
-31.04778,0.10105792,0.0,0.0,1580.0,0.12988353,0.85095793,0.20383261,3160.0,157
-28.404291,0.10097302,0.0,0.0,1590.0,0.1299379,0.85107183,0.20389555,3180.0,158
-29.387339,0.10096966,0.0,0.0,1600.0,0.12994175,0.8510329,0.2038536,3200.0,159
-30.22371,0.100813285,0.0,0.1,1610.0,0.12990066,0.8510525,0.20386769,3220.0,160
-28.942005,0.10093086,0.0,0.0,1620.0,0.13001119,0.8511165,0.20382574,3240.0,161
-27.601574,0.10105423,0.0,0.1,1630.0,0.13015412,0.85113484,0.20391078,3260.0,162
-30.02983,0.10112893,0.0,0.0,1640.0,0.13022687,0.8512327,0.20396143,3280.0,163
-32.797955,0.10099287,0.0,0.0,1650.0,0.13016936,0.8512807,0.20395958,3300.0,164
-29.108942,0.10090168,0.0,0.0,1660.0,0.13007681,0.85129625,0.20397356,3320.0,165
-33.670177,0.10080531,0.0,0.0,1670.0,0.13013129,0.8513381,0.20400819,3340.0,166
-32.467033,0.10075255,0.0,0.0,1680.0,0.13010715,0.85144955,0.20398271,3360.0,167
-30.069645,0.10064387,0.0,0.0,1690.0,0.13002963,0.8513147,0.20390001,3380.0,168
-33.42885,0.10060834,0.0,0.0,1700.0,0.13000397,0.85146666,0.20395727,3400.0,169
-29.851795,0.10048511,0.0,0.0,1710.0,0.12991817,0.851461,0.20397542,3420.0,170
-32.39252,0.10029766,0.0,0.0,1720.0,0.1298386,0.85147905,0.2039821,3440.0,171
-25.51549,0.10015524,0.0,0.0,1730.0,0.12981772,0.851571,0.2040023,3460.0,172
-32.32467,0.100061834,0.0,0.0,1740.0,0.12969667,0.8516585,0.20403656,3480.0,173
-32.134216,0.1000777,0.0,0.1,1750.0,0.12974007,0.85169935,0.2040557,3500.0,174
-34.304302,0.10021775,0.0,0.0,1760.0,0.12973039,0.8517198,0.20411138,3520.0,175
-36.561985,0.10016652,0.0,0.1,1770.0,0.1296495,0.85172224,0.20413357,3540.0,176
-33.57918,0.10000365,0.0,0.1,1780.0,0.12957521,0.85176927,0.20413585,3560.0,177
-34.319256,0.10004141,0.0,0.0,1790.0,0.12960641,0.8517062,0.20416555,3580.0,178
-29.299427,0.09991209,0.0,0.0,1800.0,0.12951939,0.8516241,0.20413856,3600.0,179
-29.242437,0.09976879,0.0,0.0,1810.0,0.12947635,0.85162526,0.20413594,3620.0,180
-29.29036,0.099785015,0.0,0.0,1820.0,0.12948936,0.8516621,0.20411989,3640.0,181
-30.356792,0.09970169,0.0,0.0,1830.0,0.12938137,0.85164946,0.2041251,3660.0,182
-26.510138,0.099632934,0.0,0.1,1840.0,0.12953931,0.85162497,0.20411892,3680.0,183
-30.602987,0.09981155,0.0,0.0,1850.0,0.12963831,0.85160834,0.20412856,3700.0,184
-30.491802,0.10001479,0.0,0.0,1860.0,0.12972765,0.85158604,0.20411055,3720.0,185
-27.503653,0.0999699,0.0,0.0,1870.0,0.12967803,0.85175997,0.20414625,3740.0,186
-25.55853,0.09989843,0.0,0.0,1880.0,0.12959903,0.85179645,0.20414166,3760.0,187
-23.636753,0.10014623,0.0,0.0,1890.0,0.12959243,0.85172933,0.20415445,3780.0,188
-24.034237,0.100144856,0.0,0.0,1900.0,0.12960258,0.85180575,0.20415229,3800.0,189
-32.543762,0.10015243,0.0,0.0,1910.0,0.12963866,0.8518757,0.20419575,3820.0,190
-31.639914,0.10020507,0.0,0.0,1920.0,0.12976657,0.85190344,0.20422609,3840.0,191
-30.10639,0.10028611,0.0,0.0,1930.0,0.12998624,0.85185593,0.20422044,3860.0,192
-30.691793,0.100180514,0.0,0.0,1940.0,0.12995046,0.8520324,0.20427008,3880.0,193
-27.545094,0.10017947,0.0,0.0,1950.0,0.1300581,0.8519397,0.20426656,3900.0,194
-32.04128,0.10016553,0.0,0.0,1960.0,0.13006632,0.8519387,0.20426497,3920.0,195
-28.206234,0.100191854,0.0,0.1,1970.0,0.13010336,0.8519261,0.20430999,3940.0,196
-33.016743,0.10027542,0.0,0.0,1980.0,0.13022365,0.851896,0.20435572,3960.0,197
-25.686716,0.10038379,0.0,0.0,1990.0,0.13036615,0.85190576,0.20438269,3980.0,198
-30.494137,0.10044354,0.0,0.0,2000.0,0.13042541,0.851872,0.20439467,4000.0,199
-18.521132,0.10042312,0.0,0.1,2010.0,0.13034303,0.8519009,0.20437188,4020.0,200
-27.062496,0.10035542,0.0,0.0,2020.0,0.13026847,0.8519599,0.20436807,4040.0,201
-27.807684,0.10021689,0.0,0.0,2030.0,0.13018401,0.85205954,0.20437136,4060.0,202
-27.103611,0.10019026,0.0,0.0,2040.0,0.13015348,0.85212547,0.20444053,4080.0,203
-21.646128,0.1001575,0.0,0.0,2050.0,0.13014862,0.85212976,0.20443942,4100.0,204
-25.075253,0.10032306,0.0,0.0,2060.0,0.13031627,0.85207003,0.20448601,4120.0,205
-29.34671,0.10023772,0.0,0.0,2070.0,0.13032392,0.8520921,0.20451905,4140.0,206
-31.08981,0.10053911,0.0,0.0,2080.0,0.13050847,0.8521876,0.20457894,4160.0,207
-27.04108,0.10061461,0.0,0.0,2090.0,0.13065924,0.8521226,0.20461987,4180.0,208
-19.780684,0.10051693,0.0,0.1,2100.0,0.13059656,0.85208416,0.20460585,4200.0,209
-28.354761,0.100548156,0.0,0.0,2110.0,0.13058566,0.85210055,0.20460726,4220.0,210
-25.506672,0.10061076,0.0,0.0,2120.0,0.13061376,0.8519892,0.20458318,4240.0,211
-19.157925,0.100618914,0.0,0.0,2130.0,0.13060294,0.8519671,0.20460077,4260.0,212
-25.398365,0.10077886,0.0,0.0,2140.0,0.13075095,0.851928,0.20466661,4280.0,213
-29.253063,0.10082191,0.0,0.1,2150.0,0.1306362,0.8519327,0.20470311,4300.0,214
-23.443504,0.10082118,0.0,0.0,2160.0,0.13059719,0.85197306,0.20470802,4320.0,215
-23.599735,0.100866616,0.0,0.0,2170.0,0.13058637,0.85197735,0.2047198,4340.0,216
-27.055676,0.10091826,0.0,0.0,2180.0,0.1306039,0.85195065,0.20477293,4360.0,217
-20.8961,0.10094986,0.0,0.0,2190.0,0.13072413,0.85190445,0.20482928,4380.0,218
-29.161627,0.10091643,0.0,0.0,2200.0,0.1308508,0.8519271,0.20485422,4400.0,219
-24.280375,0.101185605,0.0,0.0,2210.0,0.13116615,0.85183614,0.20487072,4420.0,220
-23.976109,0.101107866,0.0,0.0,2220.0,0.13111287,0.85182256,0.20488639,4440.0,221
-19.634464,0.10111971,0.0,0.1,2230.0,0.13111317,0.8518129,0.20489109,4460.0,222
-28.100098,0.101188585,0.0,0.0,2240.0,0.13111903,0.8518191,0.20489189,4480.0,223
-19.878874,0.101206586,0.0,0.0,2250.0,0.13124046,0.85175735,0.20489019,4500.0,224
-24.34765,0.10113839,0.0,0.0,2260.0,0.13121998,0.8517904,0.20491534,4520.0,225
-19.106907,0.101201646,0.0,0.0,2270.0,0.13128532,0.8517518,0.20491639,4540.0,226
-21.382662,0.10134061,0.0,0.0,2280.0,0.13132147,0.85170275,0.20489341,4560.0,227
-25.94105,0.10133951,0.0,0.0,2290.0,0.13143347,0.85162705,0.20490015,4580.0,228
-21.040806,0.10135612,0.0,0.0,2300.0,0.13145034,0.8516453,0.2049287,4600.0,229
-20.96351,0.10133727,0.0,0.0,2310.0,0.131561,0.85168296,0.20492983,4620.0,230
-22.121462,0.101420306,0.0,0.1,2320.0,0.1315465,0.85173607,0.20496851,4640.0,231
-21.148304,0.10149817,0.0,0.1,2330.0,0.13149822,0.85178924,0.2050186,4660.0,232
-27.790623,0.10160496,0.0,0.1,2340.0,0.13166253,0.85175085,0.20503478,4680.0,233
-25.102875,0.10176971,0.0,0.0,2350.0,0.13173002,0.8517218,0.20501739,4700.0,234
-25.495258,0.101885766,0.1,0.0,2360.0,0.13179605,0.85159016,0.20496027,4720.0,235
-21.333672,0.101986855,0.0,0.1,2370.0,0.13180654,0.85155326,0.20501228,4740.0,236
-20.32425,0.10204625,0.0,0.1,2380.0,0.13187808,0.8515889,0.2050512,4760.0,237
-22.775482,0.10196786,0.05,0.2,2390.0,0.1318083,0.8516968,0.2051029,4780.0,238
-20.027517,0.10195538,0.0,0.1,2400.0,0.13172382,0.85173494,0.20514701,4800.0,239
-23.509638,0.10217968,0.0,0.0,2410.0,0.13188241,0.851759,0.20522206,4820.0,240
-19.36816,0.102261215,0.0,0.2,2420.0,0.13188547,0.85176045,0.20524265,4840.0,241
-20.460524,0.10240586,0.0,0.1,2430.0,0.13183172,0.8517404,0.20525177,4860.0,242
-21.653877,0.102387115,0.0,0.0,2440.0,0.13174492,0.8517974,0.20527077,4880.0,243
-20.684885,0.10245038,0.0,0.1,2450.0,0.13176557,0.85176224,0.20524159,4900.0,244
-17.87476,0.102466136,0.0,0.0,2460.0,0.13171662,0.8518173,0.20523189,4920.0,245
-23.483051,0.102463715,0.0,0.0,2470.0,0.1317776,0.85177445,0.20525078,4940.0,246
-14.750882,0.10249733,0.0,0.3,2480.0,0.13178526,0.85172033,0.20524202,4960.0,247
-20.42889,0.10246906,0.0,0.1,2490.0,0.1317543,0.8517665,0.20527571,4980.0,248
-21.39221,0.102458864,0.0,0.0,2500.0,0.13175872,0.8517527,0.20531261,5000.0,249
-19.853054,0.10262748,0.0,0.2,2510.0,0.1318077,0.85177284,0.20528322,5020.0,250
-15.512385,0.102684624,0.0,0.1,2520.0,0.13181852,0.85178715,0.20525566,5040.0,251
-18.720657,0.10266719,0.0,0.1,2530.0,0.1317782,0.85178185,0.20524763,5060.0,252
-15.258154,0.10270814,0.0,0.4,2540.0,0.13175726,0.8518285,0.20525555,5080.0,253
-17.237291,0.102763265,0.05,0.1,2550.0,0.13179992,0.85186654,0.20526728,5100.0,254
-15.354352,0.10308242,0.0,0.0,2560.0,0.13187627,0.8518699,0.20533961,5120.0,255
-10.573543,0.10311463,0.0,0.1,2570.0,0.13180502,0.851917,0.2053233,5140.0,256
-14.080788,0.103133686,0.0,0.0,2580.0,0.1318118,0.85198754,0.205363,5160.0,257
-12.681234,0.10319264,0.0,0.2,2590.0,0.13180304,0.8519915,0.20538843,5180.0,258
-10.090256,0.10341182,0.0,0.1,2600.0,0.13187265,0.8519923,0.20541163,5200.0,259
-14.53071,0.10362205,0.0,0.0,2610.0,0.13207585,0.85199857,0.20543186,5220.0,260
-11.902339,0.10386035,0.0,0.2,2620.0,0.13214415,0.85207886,0.2054698,5240.0,261
-12.599862,0.10395955,0.0,0.1,2630.0,0.13221307,0.8521156,0.20549858,5260.0,262
-19.130747,0.10394,0.0,0.0,2640.0,0.13213886,0.85219353,0.20554586,5280.0,263
-14.190161,0.1040443,0.0,0.2,2650.0,0.13226493,0.85226035,0.2055886,5300.0,264
-17.633112,0.10409083,0.0,0.1,2660.0,0.13222857,0.8522393,0.2056101,5320.0,265
-17.549479,0.10410452,0.0,0.1,2670.0,0.1322934,0.8522385,0.20566313,5340.0,266
-14.012705,0.104113534,0.0,0.1,2680.0,0.13225864,0.85221165,0.20567554,5360.0,267
-14.752335,0.104197696,0.0,0.1,2690.0,0.13232642,0.8522253,0.20568308,5380.0,268
-17.066368,0.104241304,0.05,0.2,2700.0,0.1322556,0.85226196,0.20570621,5400.0,269
-14.446713,0.104297765,0.0,0.3,2710.0,0.1322591,0.8523467,0.20575435,5420.0,270
-16.949581,0.10433,0.0,0.0,2720.0,0.1322577,0.85235566,0.2057721,5440.0,271
-13.619333,0.10427825,0.05,0.3,2730.0,0.13226719,0.85238916,0.20579077,5460.0,272
-11.5706215,0.10449927,0.0,0.3,2740.0,0.13239796,0.852402,0.2057806,5480.0,273
-11.050028,0.104553096,0.0,0.0,2750.0,0.13245551,0.8524516,0.20580639,5500.0,274
-14.494413,0.10457549,0.0,0.3,2760.0,0.13244055,0.85249686,0.20584871,5520.0,275
-11.487353,0.10466886,0.0,0.1,2770.0,0.1325997,0.8525281,0.20587213,5540.0,276
-13.099998,0.1046071,0.15,0.4,2780.0,0.13249935,0.8525123,0.20584749,5560.0,277
-17.555126,0.10459965,0.0,0.3,2790.0,0.13245559,0.8525415,0.2058855,5580.0,278
-14.145375,0.10468494,0.05,0.0,2800.0,0.13247934,0.8524973,0.20588571,5600.0,279
